N,Time (ms)
661,5460
662,5421
663,5421
664,5421
665,5460
666,5460
667,5460
668,5460
669,5499
670,5499
671,5499
672,5538
673,5538
674,5577
675,5538
676,5538
677,5577
678,5538
679,5577
680,5577
681,5577
682,5616
683,5616
684,5616
685,5616
686,5616
687,5655
688,5655
689,5655
690,5655
691,5694
692,5655
693,5694
694,5694
695,5733
696,5733
697,5733
698,5694
699,5733
700,5733
701,5772
702,5772
703,5772
704,5772
705,5772
706,5811
707,5811
708,5811
709,5772
710,5811
711,5850
712,5850
713,5850
714,5850
715,5850
716,5850
717,5928
718,5889
719,5889
720,5889
721,5889
722,5889
723,5928
724,5928
725,5928
726,5967
727,5967
728,5928
729,5967
730,6006
731,6006
732,6006
733,6006
734,6006
735,6006
736,6045
737,6045
738,6045
739,6045
740,6045
741,6084
742,6084
743,6084
744,6084
745,6084
746,6123
747,6123
748,6123
749,6123
750,6123
751,6123
752,6162
753,6162
754,6201
755,6201
756,6162
757,6201
758,6240
759,6201
760,6240
761,6240
762,6240
763,6240
764,6279
765,6279
766,6279
767,6279
768,6318
769,6279
770,6318
771,6318
772,6279
773,6318
774,6318
775,6357
776,6396
777,6396
778,6357
779,6396
780,6396
781,6396
782,6435
783,6435
784,6435
785,6435
786,6435
787,6435
788,6435
789,6474
790,6474
791,6474
792,6474
793,6474
794,6513
795,6552
796,6513
797,6552
798,6513
799,6552
800,6513
801,6552
802,6552
803,6591
804,6591
805,6591
806,6630
807,6630
808,6630
809,6630
810,6669
811,6669
812,6669
813,6630
814,6669
815,6669
816,6669
817,6669
818,6708
819,6708
820,6747
821,6747
822,6747
823,6747
824,6747
825,6747
826,6747
827,6786
828,6825
829,6825
830,6786
831,6825
832,6825
833,6825
834,6825
835,6864
836,6864
837,6864
838,6864
839,6864
840,6864
841,6903
842,6903
843,6942
844,6942
845,6942
846,6942
847,6942
848,6942
849,6981
850,6981
851,6981
852,6981
853,6981
854,7020
855,7020
856,7020
857,7020
858,7059
859,7098
860,7059
861,7059
862,7059
863,7059
864,7059
865,7098
866,7098
867,7098
868,7137
869,7137
870,7098
871,7176
872,7176
873,7176
874,7176
875,7176
876,7215
877,7215
878,7215
879,7215
880,7215
881,7215
882,7254
883,7254
884,7254
885,7254
886,7254
887,7254
888,7293
889,7293
890,7293
891,7332
892,7332
893,7332
894,7332
895,7371
896,7371
897,7371
898,7371
899,7371
900,7371
901,7371
902,7410
903,7410
904,7410
905,7449
906,7410
907,7449
908,7449
909,7449
910,7488
911,7488
912,7488
913,7488
914,7488
915,7488
916,7527
917,7527
918,7527
919,7566
920,7527
921,7527
922,7566
923,7605
924,7566
925,7605
926,7605
927,7605
928,7605
929,7605
930,7605
931,7644
932,7644
933,7644
934,7644
935,7683
936,7683
937,7683
938,7683
939,7683
940,7722
941,7722
942,7722
943,7722
944,7722
945,7761
946,7761
947,7761
948,7800
949,7800
950,7800
951,7800
952,7839
953,7839
954,7839
955,7839
956,7839
957,7878
958,7878
959,12051
960,7878
961,7878
962,7878
963,7878
964,7917
965,7878
966,7917
967,7956
968,7956
969,7917
970,7917
971,7956
972,7956
973,7995
974,7995
975,7995
976,7995
977,8034
978,7995
979,8034
980,8073
981,8034
982,8073
983,8073
984,8073
985,8073
986,8073
987,8112
988,8112
989,8112
990,8112
991,8112
992,8151
993,8151
994,8151
995,8151
996,8190
997,8190
998,8151
999,8190
1000,8190
1001,8229
1002,8229
1003,8229
1004,8268
1005,8268
1006,8268
1007,8229
1008,8268
1009,8307
1010,8307
1011,8268
1012,8307
1013,8307
1014,8346
1015,8307
1016,8307
1017,8346
1018,8385
1019,8346
1020,8346
1021,8385
1022,8385
1023,8346
1024,8424
1025,8424
1026,8385
1027,8385
1028,8424
1029,8424
1030,8424
1031,8463
1032,8424
1033,8463
1034,8463
1035,8463
1036,8463
1037,8502
1038,8502
1039,8502
1040,8502
1041,8580
1042,8541
1043,8541
1044,8541
1045,8541
1046,8580
1047,8580
1048,8580
1049,8580
1050,8580
1051,8619
1052,8619
1053,8658
1054,8619
1055,8658
1056,8658
1057,8658
1058,8658
1059,8697
1060,8697
1061,8658
1062,8697
1063,8736
1064,8736
1065,8736
1066,8736
1067,8736
1068,8775
1069,8775
1070,8775
1071,8736
1072,8775
1073,8814
1074,8775
1075,8814
1076,8853
1077,8853
1078,8814
1079,8853
1080,8853
1081,8892
1082,8814
1083,8892
1084,8892
1085,8892
1086,8892
1087,8892
1088,8892
1089,8970
1090,8931
1091,8931
1092,8931
1093,8931
1094,8970
1095,8970
1096,8970
1097,9009
1098,9048
1099,9009
1100,9009
1101,9594
1102,9555
1103,9048
1104,9087
1105,9087
1106,9048
1107,9048
1108,9087
1109,9087
1110,9087
1111,9126
1112,9126
1113,9126
1114,9126
1115,9126
1116,9126
1117,9165
1118,9165
1119,9165
1120,9204
1121,9204
1122,9165
1123,9204
1124,9165
1125,9243
1126,9204
1127,9243
1128,9243
1129,9243
1130,9243
1131,9243
1132,9243
1133,9321
1134,9282
1135,9282
1136,9321
1137,9321
1138,9321
1139,9321
1140,9360
1141,9360
1142,9360
1143,9360
1144,9360
1145,9360
1146,9399
1147,9360
1148,9399
1149,9438
1150,9399
1151,9438
1152,9438
1153,9438
1154,9438
1155,9477
1156,9477
1157,9438
1158,9516
1159,9477
1160,9516
1161,9516
1162,9516
1163,9516
1164,9516
1165,9555
1166,9555
1167,9594
1168,9594
