N,Time (ms)
241500,2607228
242000,2614716
242500,2665767
243000,2601027
243500,2611284
244000,2614989
244500,2616588
245000,2649114
245500,2628093
246000,2632851
246500,2641119
247000,2646930
247500,2652390
248000,2654262
248500,2659761
249000,2692131
249500,2676063
250000,2720172
250500,2696655
251000,2702193
251500,2767128
252000,2713113
252500,2744118
253000,2729103
253500,2749149
254000,2756754
254500,2761512
255000,2773758
255500,3316287
256000,2775708
256500,2761941
257000,2771925
257500,2859714
258000,2782143
258500,2784366
259000,2813577
259500,2818725
260000,2798835
260500,2807688
261000,2810028
261500,2815488
262000,2846064
262500,2812017
263000,2855814
263500,2842203
264000,2832609
264500,2872779
265000,2852187
265500,2851563
266000,2874924
266500,2859402
267000,2896530
267500,2887443
268000,2880189
268500,2916576
269000,2903667
269500,2905071
270000,2932800
270500,2918799
271000,2904096
271500,2931942
272000,2917863
272500,2883816
273000,2964741
273500,2980380
274000,2954991
274500,2981043
275000,2946138
275500,2992548
276000,3000504
276500,2978859
277000,2988687
277500,2991378
278000,3002688
278500,3027570
279000,3004833
279500,3015402
280000,3003234
280500,3029676
281000,3016026
281500,3034005
282000,3044340
282500,3026205
283000,3058926
283500,3081663
284000,3062397
284500,3097497
285000,3074955
285500,3079245
286000,3099174
286500,3092388
287000,3121131
287500,3081312
288000,3133533
288500,3118752
289000,3119454
289500,3100422
290000,3146949
290500,3128697
291000,3140514
291500,3144726
292000,3168438
292500,3152253
293000,3154827
293500,3166917
294000,3165903
294500,3194763
295000,3181503
295500,3208530
296000,3187860
296500,3218514
297000,3199872
297500,3192423
298000,3214146
298500,3203070
299000,3205878
299500,3188796
300000,3281148
300500,3201705
301000,3249948
301500,3212157
302000,3240588
302500,3223194
303000,3251274
303500,3235479
304000,3260868
304500,3245931
305000,3303066
305500,3257007
306000,3286686
306500,3316560
307000,3292692
307500,3290352
308000,3320148
308500,3284112
309000,3312465
309500,3313440
310000,3329040
310500,3323736
311000,3333642
311500,3371121
312000,3364452
312500,3386214
313000,3370419
313500,3382743
314000,3369327
314500,3392493
315000,3364335
315500,3403530
316000,3396666
316500,3395691
317000,3407274
317500,3403569
318000,3391050
318500,3435822
319000,3421119
319500,3407118
320000,3430362
320500,3450447
321000,3435861
321500,3447717
322000,3482895
322500,3459729
323000,3485586
323500,3486210
324000,3456336
324500,3465189
325000,3505944
325500,3489018
326000,3493113
326500,3501693
327000,3509766
327500,3509220
328000,3493932
328500,3547479
329000,3574311
329500,3563781
330000,3557541
330500,3584217
331000,3562962
331500,3596580
332000,3605628
332500,3608748
333000,3589677
333500,3570294
334000,3579810
334500,3585894
335000,3613857
335500,3597360
336000,3624582
336500,3590535
337000,3615066
337500,3635190
338000,3626766
338500,3627039
339000,3652116
339500,3629301
340000,3645213
340500,3652194
341000,3657498
341500,3665532
342000,3666624
342500,3672513
343000,3694743
343500,3681561
344000,3709836
344500,3688113
345000,3718377
345500,3686475
346000,3916185
346500,3739671
347000,3758859
347500,3724617
348000,3774615
348500,3760653
349000,3760887
349500,3771846
350000,3750903
350500,3779373
351000,3766698
351500,3822975
352000,3815643
352500,3781908
353000,3782181
353500,3791580
354000,3796806
354500,3820206
355000,3829956
355500,3859323
356000,3816774
356500,3838380
357000,3829410
357500,3836040
358000,3836586
358500,3843099
359000,3852732
359500,3874299
360000,3905499
360500,3886155
361000,3870750
361500,3876561
362000,3881046
362500,3887442
363000,3911037
363500,3891849
364000,3938688
364500,3908190
365000,3911310
365500,3945006
366000,3924414
366500,3950427
367000,3932292
367500,3939000
368000,3937830
368500,4012749
369000,3956823
369500,3978117
370000,3967392
370500,3972306
371000,4000347
371500,3983265
372000,3992742
372500,3992430
373000,3998553
373500,4004988
374000,4016337
374500,4033887
375000,4016415
375500,4025970
376000,4027725
376500,4057638
377000,4060953
377500,4068402
378000,4054245
378500,4072497
379000,4101630
379500,4088292
380000,4095156
380500,4068363
381000,4084080
381500,4112199
382000,4092855
382500,4125069
383000,4131387
383500,4110600
384000,4116918
384500,4121013
385000,4126083
385500,4156893
386000,4159662
386500,4142268
387000,4149522
387500,4161768
388000,4154709
388500,4217187
389000,4165629
389500,4194606
390000,4179903
390500,4206267
391000,4212585
391500,4213950
392000,4200495
392500,4263168
393000,4230681
393500,4241445
394000,4252794
394500,4231188
395000,4233801
395500,4258800
396000,4293588
396500,4295304
397000,4275258
397500,4279509
398000,4298736
398500,4278495
399000,4300374
399500,4305015
400000,4315740
400500,4315506
401000,4342260
401500,4347798
402000,4350450
402500,4367727
403000,4342338
403500,4345614
404000,4392921
404500,4358718
405000,4346121
405500,4347525
406000,4373850
406500,4378569
407000,4368663
407500,4399278
408000,4398888
408500,4399785
409000,4406064
409500,4414176
410000,4395378
410500,4419870
411000,4425642
411500,4441203
412000,4447365
412500,4467177
413000,4446312
413500,4472481
414000,4457856
414500,4524585
415000,4469517
415500,4452708
416000,4502979
416500,4467450
417000,4494438
417500,4500756
418000,4483947
418500,4507815
419000,4531527
419500,4519086
420000,4502082
420500,4506957
421000,4533789
421500,4505709
422000,4547439
422500,4529343
423000,4583202
423500,4570800
424000,4568733
424500,4648449
425000,4656054
425500,4663230
426000,4646928
426500,4674111
427000,4698759
427500,4672122
428000,4705857
428500,4696770
429000,4681248
429500,4709562
430000,4710732
430500,4839900
431000,4719234
431500,4727151
432000,4711785
432500,4715997
433000,4782297
433500,4781595
434000,4791969
434500,4818684
435000,4776330
435500,4751409
436000,4789395
436500,4786821
437000,4795791
437500,4830150
438000,4922073
438500,4821024
439000,4872387
439500,4819932
440000,4826952
440500,4835883
441000,4858035
441500,4925310
442000,4893330
442500,4859751
443000,4877847
443500,4916535
444000,4898010
444500,4907526
445000,4906551
445500,5079594
446000,4917588
446500,4889274
447000,4921410
447500,4932135
448000,4945746
448500,4978740
449000,4928508
449500,4965831
450000,4968327
450500,4941612
451000,4969302
451500,4979247
452000,5035563
452500,4971720
453000,4967820
453500,5067426
454000,5037435
454500,4991883
455000,4993716
455500,4996368
456000,5021601
456500,5081544
457000,5046834
457500,5047146
458000,5044455
458500,5082987
459000,5093595
459500,5059587
460000,5060172
460500,5052333
461000,5057832
461500,5105607
462000,5114226
462500,5110443
463000,5096013
463500,5086380
464000,5146752
464500,5098626
465000,5137275
465500,5200806
466000,5212779
466500,5205876
467000,5161650
467500,5202873
468000,5185128
468500,5187117
469000,5141994
469500,5200026
470000,5211024
470500,5208606
471000,5216913
471500,5209932
472000,5183568
472500,5187780
473000,5208957
473500,5213442
474000,5199285
474500,5237271
475000,5238792
475500,5231304
476000,5265741
476500,5283135
477000,5297019
477500,5244798
478000,5243784
478500,5308212
479000,5294133
479500,5263440
480000,5289609
480500,5332353
481000,5273034
481500,5329194
482000,5320185
482500,5319834
483000,5298930
483500,5310474
484000,5327595
484500,5485524
485000,5427201
485500,5341830
486000,5336331
486500,5369286
487000,5345847
487500,5405712
488000,5447910
488500,5417997
489000,5410158
489500,5415891
490000,5415735
490500,5406531
491000,5446038
491500,5468970
492000,5473611
492500,5492916
493000,5469048
493500,5501223
494000,5516550
494500,5559489
495000,5506917
495500,5474976
496000,5488392
496500,5466006
497000,5456139
497500,5474391
498000,5540574
498500,5500326
499000,5474352
499500,5448846
500000,5494320
